#Epoch  Link[0]   Link[1]   Link[2]   Link[3]   HMC bandwidth
1       1.47223   1.508     1.508     1.53184   6.02007   
2       1.4782    1.35303   1.508     1.61529   5.9545    
3       1.52588   1.60933   1.44839   1.37091   5.9545    
4       1.47223   1.47223   1.35899   1.44243   5.74589   
5       1.48416   1.52588   1.50204   1.57356   6.09159   
6       1.60933   1.46031   1.46627   1.41263   5.94258   
7       1.42455   1.53184   1.55568   1.62721   6.14524   
8       1.57952   1.56164   1.54376   1.45435   6.13332   
9       1.52588   1.37687   1.49012   1.45435   5.84722   
